AmountOfMovement;0
AmountOfMovement;0
AmountOfMovement;56,85046
AmountOfMovement;121,4918
AmountOfMovement;202,6864
AmountOfMovement;0
AmountOfMovement;81,8346
AmountOfMovement;0
AmountOfMovement;71,06116
AmountOfMovement;173,0151
AmountOfMovement;222,6955
AmountOfMovement;352,924
AmountOfMovement;422,2047
AmountOfMovement;0
AmountOfMovement;0
0;AmountOfMovement;0
0,02;AmountOfMovement;30,14963
0,04;AmountOfMovement;0
0,06;AmountOfMovement;0
0,08;AmountOfMovement;0
0,09999999;AmountOfMovement;0
0,12;AmountOfMovement;0
0,14;AmountOfMovement;0
0,16;AmountOfMovement;0
0,18;AmountOfMovement;0
0,2;AmountOfMovement;0
0,22;AmountOfMovement;0
0,24;AmountOfMovement;0
0,26;AmountOfMovement;0
0,28;AmountOfMovement;0
0,3;AmountOfMovement;0
0,32;AmountOfMovement;0
0,34;AmountOfMovement;0
0,36;AmountOfMovement;0
0,38;AmountOfMovement;0
0,4;AmountOfMovement;0
0,42;AmountOfMovement;0
0,44;AmountOfMovement;0
0,46;AmountOfMovement;0
0,48;AmountOfMovement;0
0,5;AmountOfMovement;0
0,52;AmountOfMovement;0
0,54;AmountOfMovement;0
0,56;AmountOfMovement;0
0,58;AmountOfMovement;0
0,6;AmountOfMovement;0
0,62;AmountOfMovement;0
0,64;AmountOfMovement;0
0,66;AmountOfMovement;0
0,68;AmountOfMovement;0
0,7;AmountOfMovement;0
0,72;AmountOfMovement;0
0,74;AmountOfMovement;0
0,76;AmountOfMovement;0
0,78;AmountOfMovement;0
0,8;AmountOfMovement;0
0,82;AmountOfMovement;0
0,84;AmountOfMovement;0
0,86;AmountOfMovement;0
0,88;AmountOfMovement;0
0,9;AmountOfMovement;0
0,92;AmountOfMovement;0
0,94;AmountOfMovement;0
0,96;AmountOfMovement;0
0,98;AmountOfMovement;0
1;AmountOfMovement;0
1,02;AmountOfMovement;0
1,04;AmountOfMovement;0
1,06;AmountOfMovement;0
1,08;AmountOfMovement;0
1,1;AmountOfMovement;0
1,12;AmountOfMovement;0
1,14;AmountOfMovement;0
1,16;AmountOfMovement;0
1,18;AmountOfMovement;0
1,2;AmountOfMovement;0
1,22;AmountOfMovement;0
1,24;AmountOfMovement;0
1,26;AmountOfMovement;0
1,28;AmountOfMovement;0
1,3;AmountOfMovement;0
1,32;AmountOfMovement;0
1,34;AmountOfMovement;0
1,36;AmountOfMovement;0
1,38;AmountOfMovement;0
1,4;AmountOfMovement;0
1,42;AmountOfMovement;0
1,44;AmountOfMovement;0
1,46;AmountOfMovement;0
1,48;AmountOfMovement;0
1,5;AmountOfMovement;0
1,52;AmountOfMovement;0
1,54;AmountOfMovement;0
1,56;AmountOfMovement;0
1,58;AmountOfMovement;0
1,6;AmountOfMovement;0
1,62;AmountOfMovement;0
1,64;AmountOfMovement;0
1,66;AmountOfMovement;0
1,68;AmountOfMovement;0
1,7;AmountOfMovement;0
1,72;AmountOfMovement;0
1,74;AmountOfMovement;0
1,76;AmountOfMovement;0
1,78;AmountOfMovement;0
1,8;AmountOfMovement;0
1,82;AmountOfMovement;0
1,84;AmountOfMovement;0
1,86;AmountOfMovement;0
1,88;AmountOfMovement;0
1,9;AmountOfMovement;0
1,92;AmountOfMovement;0
1,94;AmountOfMovement;0
1,96;AmountOfMovement;0
1,98;AmountOfMovement;0
2;AmountOfMovement;0
2,02;AmountOfMovement;0
2,04;AmountOfMovement;0
2,06;AmountOfMovement;0
2,08;AmountOfMovement;0
2,1;AmountOfMovement;0
2,12;AmountOfMovement;0
2,14;AmountOfMovement;0
2,16;AmountOfMovement;0
2,18;AmountOfMovement;0
2,2;AmountOfMovement;0
2,22;AmountOfMovement;0
2,24;AmountOfMovement;0
2,26;AmountOfMovement;0
2,28;AmountOfMovement;0
2,3;AmountOfMovement;0
2,32;AmountOfMovement;0
2,34;AmountOfMovement;0
2,36;AmountOfMovement;0
2,38;AmountOfMovement;0
2,4;AmountOfMovement;0
2,42;AmountOfMovement;0
2,44;AmountOfMovement;0
2,46;AmountOfMovement;0
2,48;AmountOfMovement;0
2,5;AmountOfMovement;0
2,52;AmountOfMovement;0
2,54;AmountOfMovement;0
2,56;AmountOfMovement;0
2,58;AmountOfMovement;0
2,6;AmountOfMovement;0
2,62;AmountOfMovement;0
2,64;AmountOfMovement;0
2,66;AmountOfMovement;0
2,68;AmountOfMovement;0
2,7;AmountOfMovement;0
2,72;AmountOfMovement;0
2,74;AmountOfMovement;0
2,76;AmountOfMovement;0
2,78;AmountOfMovement;0
2,8;AmountOfMovement;0
2,82;AmountOfMovement;0
2,84;AmountOfMovement;0
2,86;AmountOfMovement;0
2,88;AmountOfMovement;0
2,9;AmountOfMovement;0
2,92;AmountOfMovement;0
2,94;AmountOfMovement;0
2,96;AmountOfMovement;0
2,98;AmountOfMovement;0
3;AmountOfMovement;0
3,02;AmountOfMovement;0
3,04;AmountOfMovement;0
3,06;AmountOfMovement;0
3,08;AmountOfMovement;0
3,1;AmountOfMovement;0
3,12;AmountOfMovement;0
3,14;AmountOfMovement;0
3,16;AmountOfMovement;0
3,18;AmountOfMovement;0
3,2;AmountOfMovement;0
3,22;AmountOfMovement;0
3,24;AmountOfMovement;0
3,26;AmountOfMovement;0
3,28;AmountOfMovement;0
3,3;AmountOfMovement;0
3,32;AmountOfMovement;0
3,34;AmountOfMovement;0
3,36;AmountOfMovement;0
3,38;AmountOfMovement;0
3,4;AmountOfMovement;0
3,42;AmountOfMovement;0
3,44;AmountOfMovement;0
3,46;AmountOfMovement;0
3,48;AmountOfMovement;0
3,5;AmountOfMovement;0
3,52;AmountOfMovement;0
3,54;AmountOfMovement;0
3,56;AmountOfMovement;0
3,58;AmountOfMovement;0
3,6;AmountOfMovement;0
3,62;AmountOfMovement;0
3,64;AmountOfMovement;0
3,66;AmountOfMovement;0
3,68;AmountOfMovement;0
3,7;AmountOfMovement;0
3,72;AmountOfMovement;0
3,74;AmountOfMovement;0
3,76;AmountOfMovement;0
3,78;AmountOfMovement;0
3,8;AmountOfMovement;0
3,82;AmountOfMovement;0
3,84;AmountOfMovement;0
3,86;AmountOfMovement;0
3,88;AmountOfMovement;0
3,9;AmountOfMovement;0
3,92;AmountOfMovement;0
3,94;AmountOfMovement;0
3,96;AmountOfMovement;0
3,98;AmountOfMovement;0
4;AmountOfMovement;0
4,02;AmountOfMovement;0
4,04;AmountOfMovement;0
4,06;AmountOfMovement;0
4,08;AmountOfMovement;0
4,1;AmountOfMovement;0
4,12;AmountOfMovement;0
4,14;AmountOfMovement;0
4,16;AmountOfMovement;0
4,18;AmountOfMovement;0
4,2;AmountOfMovement;0
4,22;AmountOfMovement;0
4,24;AmountOfMovement;0
4,26;AmountOfMovement;0
4,28;AmountOfMovement;0
4,3;AmountOfMovement;0
4,32;AmountOfMovement;0
4,34;AmountOfMovement;0
4,36;AmountOfMovement;0
4,38;AmountOfMovement;0
4,4;AmountOfMovement;0
4,42;AmountOfMovement;0
4,44;AmountOfMovement;0
